date,Fog_L_jour_x,Hydropanel_L_jour_x,AgriPV_L_jour_x,Condensation_L_jour_x,YEAR,DOY,ALLSKY_SFC_SW_DWN,WS2M,T2M_MAX,RH2M,T2M_MIN,PRECTOTCORR,Irradiance_kWh_m2,Hydropanel_L_jour_y,AgriPV_Energie_kWh_jour,AgriPV_L_jour_y,Fog_L_jour_y,Condensation_L_jour_y
2024-07-01,50.0,7.199074074074074,10.366666666666664,2.0,2024,183,31.1,3.94,34.94,48.62,16.99,0.0,8.63888888888889,7.199074074074074,15.549999999999999,10.366666666666665,50.0,2.0
2024-07-02,50.0,7.175925925925926,10.333333333333334,2.0,2024,184,31.0,2.95,37.54,47.38,16.42,0.0,8.61111111111111,7.175925925925926,15.5,10.333333333333334,50.0,2.0
2024-07-03,50.0,6.9907407407407405,10.066666666666666,2.0,2024,185,30.2,2.54,37.7,43.85,17.01,0.0,8.38888888888889,6.9907407407407405,15.1,10.066666666666666,50.0,2.0
2024-07-04,50.0,6.907407407407407,9.946666666666664,2.0,2024,186,29.84,3.13,37.89,46.2,18.36,0.0,8.288888888888888,6.9074074074074066,14.919999999999998,9.946666666666665,50.0,2.0
2024-07-05,50.0,6.817129629629629,9.816666666666666,2.0,2024,187,29.45,3.46,34.61,53.46,17.74,0.0,8.180555555555555,6.817129629629629,14.725,9.816666666666666,50.0,2.0
2024-07-06,50.0,7.150462962962964,10.296666666666669,2.0,2024,188,30.89,2.82,34.72,52.06,16.91,0.0,8.580555555555556,7.150462962962964,15.445,10.296666666666667,50.0,2.0
2024-07-07,50.0,7.032407407407407,10.126666666666669,2.0,2024,189,30.38,3.49,33.0,53.47,16.53,0.0,8.438888888888888,7.032407407407407,15.19,10.126666666666667,50.0,2.0
2024-07-08,50.0,6.993055555555556,10.07,2.0,2024,190,30.21,3.58,32.78,49.04,15.5,0.0,8.391666666666667,6.993055555555556,15.105,10.07,50.0,2.0
2024-07-09,50.0,6.9375,9.99,2.0,2024,191,29.97,4.23,35.86,45.63,16.12,0.0,8.325,6.9375,14.985,9.99,50.0,2.0
2024-07-10,50.0,6.780092592592593,9.763333333333334,2.0,2024,192,29.29,3.67,39.89,44.01,17.72,0.0,8.136111111111111,6.780092592592593,14.645,9.763333333333334,50.0,2.0
2024-07-11,50.0,6.243055555555555,8.989999999999998,2.0,2024,193,26.97,3.35,41.99,43.15,20.29,0.0,7.491666666666666,6.243055555555555,13.484999999999998,8.989999999999998,50.0,2.0
2024-07-12,50.0,6.571759259259259,9.463333333333331,2.0,2024,194,28.39,3.07,42.61,40.57,21.01,0.0,7.886111111111111,6.571759259259259,14.195,9.463333333333333,50.0,2.0
2024-07-13,50.0,6.650462962962963,9.576666666666666,2.0,2024,195,28.73,2.79,39.1,39.97,20.67,0.0,7.980555555555555,6.650462962962963,14.365,9.576666666666666,50.0,2.0
2024-07-14,50.0,6.893518518518519,9.926666666666668,2.0,2024,196,29.78,2.69,39.67,35.28,19.39,0.0,8.272222222222222,6.893518518518519,14.89,9.926666666666668,50.0,2.0
2024-07-15,50.0,7.002314814814814,10.083333333333332,2.0,2024,197,30.25,3.14,38.02,40.86,18.18,0.01,8.402777777777777,7.002314814814814,15.124999999999998,10.083333333333332,50.0,2.0
