-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 07/01/2024 through 07/01/2025 in LST
Location: latitude  32.2319   longitude -7.9351 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 442.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,WS2M,T2M_MAX,RH2M,T2M_MIN,PRECTOTCORR
2024,183,31.1,3.94,34.94,48.62,16.99,0.0
2024,184,31.0,2.95,37.54,47.38,16.42,0.0
2024,185,30.2,2.54,37.7,43.85,17.01,0.0
2024,186,29.84,3.13,37.89,46.2,18.36,0.0
2024,187,29.45,3.46,34.61,53.46,17.74,0.0
2024,188,30.89,2.82,34.72,52.06,16.91,0.0
2024,189,30.38,3.49,33.0,53.47,16.53,0.0
2024,190,30.21,3.58,32.78,49.04,15.5,0.0
2024,191,29.97,4.23,35.86,45.63,16.12,0.0
2024,192,29.29,3.67,39.89,44.01,17.72,0.0
2024,193,26.97,3.35,41.99,43.15,20.29,0.0
2024,194,28.39,3.07,42.61,40.57,21.01,0.0
2024,195,28.73,2.79,39.1,39.97,20.67,0.0
2024,196,29.78,2.69,39.67,35.28,19.39,0.0
2024,197,30.25,3.14,38.02,40.86,18.18,0.01
2024,198,29.27,4.02,36.99,47.01,19.53,0.04
2024,199,25.33,3.44,39.7,39.8,18.24,0.01
2024,200,23.27,2.61,42.41,30.1,25.46,0.0
2024,201,19.96,2.24,43.9,40.64,26.27,12.25
2024,202,27.58,3.19,39.21,46.77,22.78,0.0
2024,203,29.29,3.49,37.88,45.43,20.31,0.0
2024,204,28.26,2.74,40.44,42.46,20.57,0.0
2024,205,26.91,1.98,46.02,30.1,24.82,0.02
2024,206,26.67,2.77,46.79,21.81,29.46,0.0
2024,207,26.13,2.91,44.29,29.14,25.87,0.0
2024,208,29.51,3.19,39.69,36.8,21.78,0.0
2024,209,28.43,3.77,36.83,49.03,19.14,0.0
2024,210,26.31,3.83,34.18,55.96,18.7,0.01
2024,211,27.4,3.31,35.09,52.05,17.89,0.0
2024,212,27.41,3.47,39.45,46.77,18.26,0.0
2024,213,25.54,3.03,41.42,42.27,22.23,0.0
2024,214,26.18,3.44,40.72,44.77,22.3,0.0
2024,215,27.68,3.5,40.85,35.83,21.85,0.0
2024,216,28.39,2.96,43.5,28.53,22.61,0.0
2024,217,28.38,2.93,42.83,32.28,21.49,0.0
2024,218,27.87,2.66,37.5,40.67,21.38,0.0
2024,219,28.28,2.83,38.97,42.11,18.58,0.0
2024,220,27.76,2.55,36.76,50.22,18.91,0.0
2024,221,27.41,2.93,38.63,45.99,20.08,0.0
2024,222,26.89,2.95,39.99,44.85,19.48,0.0
2024,223,26.91,2.39,42.49,35.9,21.54,0.0
2024,224,24.02,2.36,44.29,30.71,23.59,0.0
2024,225,24.32,2.94,42.35,28.04,24.85,0.01
2024,226,27.08,3.51,38.43,42.28,20.69,0.0
2024,227,28.3,4.25,36.47,49.78,17.91,0.0
2024,228,27.77,3.79,39.94,46.92,19.27,0.0
2024,229,27.66,2.7,42.57,39.08,21.72,0.0
2024,230,26.92,2.44,45.03,27.28,24.7,0.0
2024,231,26.37,2.79,44.95,25.56,25.64,0.0
2024,232,24.09,2.84,40.9,30.16,26.2,0.0
2024,233,19.14,3.15,38.24,39.97,22.99,1.2
2024,234,24.99,3.0,40.04,42.37,22.88,0.0
2024,235,26.53,3.6,35.55,52.15,19.98,0.01
2024,236,26.09,3.69,33.27,52.84,18.65,0.09
2024,237,24.09,3.77,34.76,54.74,18.52,0.01
2024,238,24.75,3.33,38.38,51.63,20.52,0.0
2024,239,26.03,2.67,37.38,48.51,20.08,0.0
2024,240,26.24,2.54,37.37,45.65,19.36,0.0
2024,241,25.1,3.29,33.72,53.54,18.03,0.03
2024,242,23.82,3.81,32.51,57.0,17.76,0.0
2024,243,23.96,3.66,33.2,62.19,18.66,0.03
